date,country,store,product,num_sold
1/1/2015,Finland,KaggleMart,Kaggle Mug,329
1/1/2015,Finland,KaggleMart,Kaggle Hat,520
1/1/2015,Finland,KaggleMart,Kaggle Sticker,146
1/1/2015,Finland,KaggleRama,Kaggle Mug,572
1/1/2015,Finland,KaggleRama,Kaggle Hat,911
1/1/2015,Finland,KaggleRama,Kaggle Sticker,283
1/1/2015,Norway,KaggleMart,Kaggle Mug,526
1/1/2015,Norway,KaggleMart,Kaggle Hat,906
1/1/2015,Norway,KaggleMart,Kaggle Sticker,250
1/1/2015,Norway,KaggleRama,Kaggle Mug,1005
1/1/2015,Norway,KaggleRama,Kaggle Hat,1461
1/1/2015,Norway,KaggleRama,Kaggle Sticker,395
1/1/2015,Sweden,KaggleMart,Kaggle Mug,440
1/1/2015,Sweden,KaggleMart,Kaggle Hat,624
1/1/2015,Sweden,KaggleMart,Kaggle Sticker,175
1/1/2015,Sweden,KaggleRama,Kaggle Mug,706
1/1/2015,Sweden,KaggleRama,Kaggle Hat,1195
1/1/2015,Sweden,KaggleRama,Kaggle Sticker,324
1/2/2015,Finland,KaggleMart,Kaggle Mug,318
1/2/2015,Finland,KaggleMart,Kaggle Hat,493
1/2/2015,Finland,KaggleMart,Kaggle Sticker,127
1/2/2015,Finland,KaggleRama,Kaggle Mug,544
1/2/2015,Finland,KaggleRama,Kaggle Hat,794
1/2/2015,Finland,KaggleRama,Kaggle Sticker,249
1/2/2015,Norway,KaggleMart,Kaggle Mug,538
1/2/2015,Norway,KaggleMart,Kaggle Hat,845
1/2/2015,Norway,KaggleMart,Kaggle Sticker,237
1/2/2015,Norway,KaggleRama,Kaggle Mug,949
1/2/2015,Norway,KaggleRama,Kaggle Hat,1446
1/2/2015,Norway,KaggleRama,Kaggle Sticker,415
1/2/2015,Sweden,KaggleMart,Kaggle Mug,384
1/2/2015,Sweden,KaggleMart,Kaggle Hat,572
1/2/2015,Sweden,KaggleMart,Kaggle Sticker,155
1/2/2015,Sweden,KaggleRama,Kaggle Mug,653
1/2/2015,Sweden,KaggleRama,Kaggle Hat,986
1/2/2015,Sweden,KaggleRama,Kaggle Sticker,293
1/3/2015,Finland,KaggleMart,Kaggle Mug,360
1/3/2015,Finland,KaggleMart,Kaggle Hat,535
1/3/2015,Finland,KaggleMart,Kaggle Sticker,141
1/3/2015,Finland,KaggleRama,Kaggle Mug,579
1/3/2015,Finland,KaggleRama,Kaggle Hat,843
1/3/2015,Finland,KaggleRama,Kaggle Sticker,265
1/3/2015,Norway,KaggleMart,Kaggle Mug,614
1/3/2015,Norway,KaggleMart,Kaggle Hat,930
1/3/2015,Norway,KaggleMart,Kaggle Sticker,254
1/3/2015,Norway,KaggleRama,Kaggle Mug,1029
1/3/2015,Norway,KaggleRama,Kaggle Hat,1631
1/3/2015,Norway,KaggleRama,Kaggle Sticker,451
1/3/2015,Sweden,KaggleMart,Kaggle Mug,420
